lat,lon,name,capacity,fee,access
33.7647487,-118.1995511,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7647489,-118.1989008,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.764749,-118.1989802,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.764749,-118.1995322,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7647491,-118.1996308,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7647584,-118.1954724,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7647495,-118.199572,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7647498,-118.2002835,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7647501,-118.2002244,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7647504,-118.2002031,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7647505,-118.2001826,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7647586,-118.1985708,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7647598,-118.1988686,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7647603,-118.1996444,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7647605,-118.1989936,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7647612,-118.1995182,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7647617,-118.2001719,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7647629,-118.2005359,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.764763,-118.2002961,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7647718,-118.1954762,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7647752,-118.1989,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7647762,-118.1989221,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7647766,-118.1989612,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7647769,-118.1995517,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.764777,-118.1996129,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7647773,-118.1995722,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7647788,-118.2002032,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.764779,-118.2002635,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7647794,-118.2002238,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7647814,-118.1988914,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7647828,-118.1995451,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7647833,-118.1989667,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7647834,-118.1996209,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7647854,-118.2001946,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7647862,-118.2002699,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7647951,-118.1989665,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7647952,-118.1988897,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7647962,-118.1995429,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7647975,-118.2002702,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7647982,-118.199619,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7647988,-118.2001949,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7648017,-118.1989584,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7648029,-118.1988982,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7648034,-118.1995508,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7648039,-118.1996111,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7648041,-118.2002636,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.764806,-118.2002024,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7648535,-118.1952194,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7648674,-118.195251,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7650362,-118.1951009,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7650601,-118.1951177,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7651315,-118.1962976,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7651478,-118.1962839,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7651578,-118.1963493,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7651752,-118.1963575,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7652275,-118.19501,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7652341,-118.1949647,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7652532,-118.1967785,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7655928,-118.1965521,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7656118,-118.1965928,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7656502,-118.1960264,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7656645,-118.1965582,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7657816,-118.1964202,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7661735,-118.1983296,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7663348,-118.1990714,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7663314,-118.1983285,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7656457,-118.1965171,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7652611,-118.1949605,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7652708,-118.1949621,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7652802,-118.1949651,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7652893,-118.1949694,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7652979,-118.1949751,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7647002,-118.1953484,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7647019,-118.1954289,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.764708,-118.1954364,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7648962,-118.1957434,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7651859,-118.1963661,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7653056,-118.1966072,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7654568,-118.1966437,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7655281,-118.1968117,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7655306,-118.1968276,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7655316,-118.1968437,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7653291,-118.1969276,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7653959,-118.1969783,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7654492,-118.1969762,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.765505,-118.1969331,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.765513,-118.1969202,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7655197,-118.1969062,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.765525,-118.1968913,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7655287,-118.1968762,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.765531,-118.1968598,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7654853,-118.1969551,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7654957,-118.1969448,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7654722,-118.1969649,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7654619,-118.1969709,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7654361,-118.1969796,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7654092,-118.1969807,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7654227,-118.1969811,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7653587,-118.1969602,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7653705,-118.196968,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.765383,-118.1969741,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7653478,-118.1969508,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7653379,-118.1969399,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7652586,-118.1967929,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7652493,-118.1967634,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7652468,-118.1967479,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7652458,-118.1967321,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7652462,-118.1967163,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7652481,-118.1967007,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7652514,-118.1966854,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7652562,-118.1966707,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7652623,-118.1966567,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7652696,-118.1966436,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7652781,-118.1966316,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7652877,-118.1966208,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7657428,-118.1964478,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7652491,-118.1964876,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7652722,-118.196537,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7640812,-118.195832,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7643393,-118.200593,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7646752,-118.20059,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7643323,-118.1985204,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7646755,-118.1985183,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.763338,-118.1961966,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7644147,-118.1966111,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.764407,-118.1965402,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7644433,-118.1965342,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7644754,-118.1965572,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7644457,-118.1965878,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7643998,-118.1965853,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.763281,-118.1963683,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7632645,-118.1962954,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7632629,-118.1962179,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7633613,-118.1962074,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7650938,-118.1950954,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7648493,-118.1952628,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7655179,-118.1967869,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7636134,-118.1969597,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.763586,-118.1969101,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7635608,-118.1968643,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7634952,-118.1967455,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7634728,-118.1967049,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7659895,-118.1990714,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7661743,-118.1984788,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.765988,-118.1984793,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7647879,-118.1953028,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7647819,-118.195498,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7651387,-118.1962644,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7639748,-118.1920187,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7643357,-118.1920595,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7645889,-118.1919277,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7641048,-118.1919279,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7642976,-118.1919281,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7639749,-118.1920576,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7655722,-118.1920506,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7650506,-118.1920148,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.765051,-118.1920577,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7645214,-118.1919711,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7655906,-118.1920209,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7645464,-118.1919456,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7645465,-118.1920117,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7641047,-118.1920189,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7645652,-118.1920598,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7655899,-118.1919268,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7643494,-118.1920102,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7649447,-118.1920547,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7649443,-118.1920162,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7643701,-118.1919711,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7643353,-118.1919426,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7645527,-118.1920394,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7645324,-118.191957,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7645673,-118.191934,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7655674,-118.1884082,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7651013,-118.1884109,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7655651,-118.1876411,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.765612,-118.1876357,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7656097,-118.1884057,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7655655,-118.1884717,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7651039,-118.1884644,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7649228,-118.1883929,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7673201,-118.1856402,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7673244,-118.1852298,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7649252,-118.1875875,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7648338,-118.186697,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7648873,-118.1866916,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7648784,-118.1866326,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7654626,-118.186536,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7654581,-118.186587,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7655072,-118.186587,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7656008,-118.1874024,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.765554,-118.1874078,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7673499,-118.1856635,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7673499,-118.1856046,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7673188,-118.1856046,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7673188,-118.1852992,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7673499,-118.1852992,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7673433,-118.1852323,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7679632,-118.1992742,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7679641,-118.19837,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7686636,-118.1961706,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.768664,-118.1953065,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7686675,-118.1953065,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7686676,-118.1952774,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7686934,-118.1952532,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7686934,-118.1952774,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7687155,-118.1962321,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7687156,-118.1961706,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7687179,-118.1952423,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7687179,-118.1952532,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.768869,-118.1992754,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7688698,-118.1983712,Unnamed Parking Structure,Unknown,Unknown,Unknown
