name,lat,lon,coordinates
East Colorado Street,33.7698878,-118.122,"[(33.7698878, -118.122), (33.7698895, -118.1211748), (33.769889, -118.121052), (33.769887, -118.1209491), (33.7698866, -118.1208575), (33.7698864, -118.1208212), (33.7698836, -118.1202663)]"
East Vista Street,33.7677887,-118.1049605,"[(33.7677887, -118.1049605), (33.7678172, -118.1049777), (33.7678458, -118.105012), (33.7678886, -118.1050978), (33.7679456, -118.1052094), (33.7680001, -118.1053692), (33.7682381, -118.106393), (33.7684564, -118.1072825), (33.768662, -118.1081719), (33.7688579, -118.1090677), (33.7690631, -118.1099453), (33.7690815, -118.1100373)]"
East Vista Street,33.7690815,-118.1100373,"[(33.7690815, -118.1100373), (33.7692439, -118.1107613), (33.7692602, -118.1107819)]"
Maine Avenue,33.7740847,-118.200614,"[(33.7740847, -118.200614), (33.7740377, -118.2006141), (33.7740204, -118.2006142), (33.7738512, -118.2006159), (33.7734584, -118.200617), (33.7729168, -118.2006181), (33.7722496, -118.2006258), (33.7717293, -118.200623)]"
Manila Avenue,33.767038,-118.1216996,"[(33.767038, -118.1216996), (33.7672083, -118.1216988), (33.7673429, -118.121676), (33.7675439, -118.1216213), (33.7676404, -118.1215968), (33.7677414, -118.1215902), (33.7679633, -118.1215927), (33.7680109, -118.121585), (33.7680774, -118.1215746)]"
Alamitos Avenue,33.7691745,-118.18209,"[(33.7691745, -118.18209), (33.7690062, -118.1821378), (33.7688189, -118.1821924), (33.7687697, -118.1822072), (33.7686953, -118.1822318), (33.7685672, -118.1822708)]"
Loma Avenue,33.789853,-118.1502421,"[(33.789853, -118.1502421), (33.7897213, -118.1502403), (33.7895414, -118.1502384), (33.7893678, -118.1502363), (33.7889915, -118.1502318), (33.7883613, -118.1502288), (33.7875816, -118.150246), (33.786685, -118.1502495), (33.7862146, -118.1502453), (33.7858778, -118.1502536), (33.7858229, -118.1502559)]"
Loma Avenue,33.7619761,-118.1505108,"[(33.7619761, -118.1505108), (33.7625215, -118.1503461), (33.7629494, -118.1502143), (33.7630319, -118.1502342)]"
West 3rd Street,33.7705191,-118.2006289,"[(33.7705191, -118.2006289), (33.770526, -118.200722), (33.7705398, -118.2017661), (33.7705516, -118.2018498)]"
Winslow Avenue,33.7689733,-118.1220037,"[(33.7689733, -118.1220037), (33.7690591, -118.1220073), (33.7698055, -118.122), (33.769823, -118.1220031), (33.7698878, -118.122), (33.7699572, -118.121999), (33.7716247, -118.1219993), (33.7716973, -118.1220008), (33.7717841, -118.1220002), (33.7734443, -118.1220048), (33.7734534, -118.1220049), (33.7735096, -118.1220054), (33.7735813, -118.1220045), (33.7736009, -118.1220042), (33.7745718, -118.1219952), (33.7746097, -118.1219812), (33.7746565, -118.121964)]"
East 2nd Street,33.7630319,-118.1502342,"[(33.7630319, -118.1502342), (33.7632769, -118.1513645), (33.763395, -118.1519095), (33.763473, -118.1522786), (33.7635052, -118.1524179)]"
Pacific Avenue,33.8314193,-118.195179,"[(33.8314193, -118.195179), (33.8321241, -118.1952555), (33.8326185, -118.1953088), (33.8330955, -118.1953637), (33.8335897, -118.1954205), (33.8340823, -118.1954797), (33.8346922, -118.1955529)]"
Atlantic Avenue,33.8398839,-118.1850474,"[(33.8398839, -118.1850474), (33.8382953, -118.1850622), (33.8379479, -118.1850654), (33.8377389, -118.1850652)]"
Atlantic Avenue,33.8452674,-118.1850298,"[(33.8452674, -118.1850298), (33.8451475, -118.1850331)]"
Del Mar Avenue,33.827134,-118.200601,"[(33.827134, -118.200601), (33.8284358, -118.2014598), (33.8287954, -118.2016905), (33.8291579, -118.20203), (33.8302862, -118.2026655)]"
Del Mar Avenue,33.8302862,-118.2026655,"[(33.8302862, -118.2026655), (33.8305724, -118.2028136), (33.8306327, -118.2028212), (33.8306843, -118.2028123), (33.8307628, -118.2027747), (33.8309936, -118.2026624), (33.8311466, -118.202533), (33.8312171, -118.2024116), (33.8313245, -118.2021489)]"
Orange Avenue,33.7889493,-118.1763072,"[(33.7889493, -118.1763072), (33.788507, -118.1762963)]"
Orange Avenue,33.7862433,-118.1763406,"[(33.7862433, -118.1763406), (33.7863273, -118.1763374), (33.7870086, -118.1763276), (33.7870816, -118.176318)]"
Clark Avenue,33.803946,-118.1340043,"[(33.803946, -118.1340043), (33.8039947, -118.1340047), (33.8043865, -118.1340135)]"
East Appian Way,33.7565617,-118.1177971,"[(33.7565617, -118.1177971), (33.7565899, -118.1178369), (33.756682, -118.1179877), (33.7567251, -118.1181221), (33.7567426, -118.1182909), (33.7567576, -118.1192078), (33.7567812, -118.1193195), (33.756854, -118.1195035), (33.7569519, -118.1196378), (33.7570643, -118.1197719), (33.7571089, -118.1198926)]"
East Appian Way,33.7567085,-118.1193441,"[(33.7567085, -118.1193441), (33.7566841, -118.1192694), (33.7566661, -118.1191527), (33.7566592, -118.118208), (33.7565982, -118.1180147), (33.7565068, -118.1178681), (33.756235, -118.1175868)]"
East Appian Way,33.7527358,-118.1149873,"[(33.7527358, -118.1149873), (33.7526808, -118.1149627), (33.7524489, -118.1146993)]"
East Appian Way,33.7682242,-118.1322401,"[(33.7682242, -118.1322401), (33.768399, -118.1324437), (33.7686152, -118.1326122)]"
East Appian Way,33.7526025,-118.1146358,"[(33.7526025, -118.1146358), (33.7526254, -118.1147511), (33.7526517, -118.114836), (33.7527002, -118.114911), (33.7527358, -118.1149873)]"
East Appian Way,33.7571089,-118.1198926,"[(33.7571089, -118.1198926), (33.7574099, -118.1202117)]"
Nieto Avenue,33.7688787,-118.1328757,"[(33.7688787, -118.1328757), (33.7687997, -118.1328715)]"
Cover Street,33.8276016,-118.155805,"[(33.8276016, -118.155805), (33.8275718, -118.155285), (33.8275665, -118.1539909), (33.827585, -118.15376), (33.8276391, -118.1533522), (33.8276534, -118.1531732), (33.8276543, -118.1527483)]"
Cover Street,33.8277714,-118.1464008,"[(33.8277714, -118.1464008), (33.8277629, -118.1464553), (33.8277387, -118.1465406), (33.8277315, -118.1465945), (33.8277272, -118.147702)]"
Cover Street,33.8276938,-118.1442111,"[(33.8276938, -118.1442111), (33.8276925, -118.1437966)]"
Cover Street,33.8276238,-118.1460836,"[(33.8276238, -118.1460836), (33.8276413, -118.1460089), (33.8276567, -118.1459388), (33.827669, -118.1458848), (33.8276733, -118.1458178), (33.8276905, -118.1457703)]"
Cover Street,33.8276905,-118.1457703,"[(33.8276905, -118.1457703), (33.8277196, -118.1458557), (33.8277265, -118.1459375), (33.8277397, -118.1459992), (33.8277488, -118.1460345), (33.8277563, -118.1460824)]"
Bellflower Boulevard,33.7814629,-118.1224155,"[(33.7814629, -118.1224155), (33.7797444, -118.1224196), (33.7794743, -118.1224201)]"
Bellflower Boulevard,33.7830147,-118.1224049,"[(33.7830147, -118.1224049), (33.7842918, -118.1224033), (33.7846186, -118.1224207), (33.7848643, -118.1224651), (33.7851411, -118.1225221), (33.7855366, -118.1226448), (33.7858739, -118.122766), (33.7862708, -118.1229519), (33.7865473, -118.1230979), (33.7869062, -118.1233098)]"
Bellflower Boulevard,33.7898388,-118.1250238,"[(33.7898388, -118.1250238), (33.7900171, -118.1250078), (33.7904048, -118.1251238), (33.7905964, -118.1251541), (33.7909588, -118.1252164), (33.7912258, -118.1252475), (33.7913569, -118.1252598), (33.7915608, -118.1252746), (33.7916756, -118.125284)]"
Worsham Avenue,33.8273033,-118.1462406,"[(33.8273033, -118.1462406), (33.8270073, -118.1462439), (33.8267975, -118.1462448), (33.8260937, -118.1462479), (33.8255555, -118.1462512), (33.8250811, -118.1462498), (33.8250743, -118.1462498), (33.8249587, -118.1462494)]"
Worsham Avenue,33.8273033,-118.1462406,"[(33.8273033, -118.1462406), (33.8273502, -118.1462189), (33.8274459, -118.1462123), (33.8275198, -118.1461823), (33.8275504, -118.1461794)]"
Worsham Avenue,33.8275534,-118.1463223,"[(33.8275534, -118.1463223), (33.8275213, -118.1463187), (33.8274459, -118.1462795), (33.8273533, -118.1462656), (33.8273033, -118.1462406)]"
Worsham Avenue,33.8280873,-118.1462478,"[(33.8280873, -118.1462478), (33.8280265, -118.1462699), (33.8279478, -118.1462825), (33.8278692, -118.1463052), (33.8278325, -118.146311)]"
Worsham Avenue,33.8278266,-118.1461661,"[(33.8278266, -118.1461661), (33.8278645, -118.1461689), (33.8279487, -118.1462026), (33.8280261, -118.1462175), (33.8280873, -118.1462478)]"
Atherton Street,33.7898457,-118.1383202,"[(33.7898457, -118.1383202), (33.7898458, -118.1382878), (33.7898463, -118.1380537), (33.789847, -118.1377026), (33.7898481, -118.1372198)]"
East Anaheim Road,33.7815375,-118.103896,"[(33.7815375, -118.103896), (33.7815389, -118.103929)]"
East Anaheim Road,33.7815201,-118.102683,"[(33.7815201, -118.102683), (33.7815169, -118.1028367)]"
East Anaheim Road,33.7815389,-118.103929,"[(33.7815389, -118.103929), (33.7815434, -118.1060734), (33.7815434, -118.1060923), (33.7815436, -118.106172)]"
Barbanell Street,33.8052647,-118.107918,"[(33.8052647, -118.107918), (33.8052618, -118.107744), (33.8052562, -118.1074129), (33.8052544, -118.1069488), (33.8052513, -118.106142), (33.8052481, -118.1052894)]"
East Spring Street,33.8125996,-118.1391283,"[(33.8125996, -118.1391283), (33.8125606, -118.1389298), (33.8124823, -118.1386815), (33.8124565, -118.1385995), (33.8124024, -118.1384296), (33.8123546, -118.1383045), (33.812281, -118.1381114), (33.8121741, -118.1378915), (33.8119423, -118.1375133), (33.8114859, -118.1369416), (33.8113924, -118.1368245)]"
East Spring Street,33.8117018,-118.17633,"[(33.8117018, -118.17633), (33.8117018, -118.1768096), (33.8117021, -118.1772369), (33.8117029, -118.1783089), (33.8117031, -118.17852)]"
North Studebaker Road,33.7716338,-118.1032235,"[(33.7716338, -118.1032235), (33.7707234, -118.1032199)]"
North Studebaker Road,33.7692073,-118.1032278,"[(33.7692073, -118.1032278), (33.7682856, -118.1032301)]"
North Studebaker Road,33.7670315,-118.1032614,"[(33.7670315, -118.1032614), (33.7668105, -118.1032793), (33.7665736, -118.1032915), (33.7664147, -118.1033096), (33.7662423, -118.1033347), (33.7659432, -118.1034)]"
Palo Verde Avenue,33.7870934,-118.1079994,"[(33.7870934, -118.1079994), (33.7878922, -118.1079887), (33.7881287, -118.107976), (33.7881636, -118.1079753), (33.7883871, -118.1079706), (33.7884312, -118.1079704), (33.7885374, -118.1079712), (33.7887075, -118.1079667)]"
San Anseline Avenue,33.7887066,-118.1210166,"[(33.7887066, -118.1210166), (33.7888046, -118.121015), (33.7889063, -118.1210127), (33.7893051, -118.1210038), (33.7897583, -118.1210002), (33.7900007, -118.1210396), (33.7902253, -118.1211327), (33.7906721, -118.1216008), (33.7912601, -118.1222442), (33.7914578, -118.1223989), (33.7916837, -118.122485), (33.7918937, -118.1225205), (33.7921564, -118.1225095), (33.7923486, -118.1224591), (33.7925164, -118.1223574), (33.7931418, -118.121933), (33.7935888, -118.1216058), (33.7938214, -118.1215257), (33.7940772, -118.1214723), (33.7948231, -118.1214619), (33.7959213, -118.1214535), (33.7960099, -118.121453), (33.7961552, -118.1214533), (33.7982819, -118.1214451)]"
North Studebaker Road,33.7815201,-118.102683,"[(33.7815201, -118.102683), (33.7814355, -118.1026817)]"
North Studebaker Road,33.7745775,-118.1031111,"[(33.7745775, -118.1031111), (33.7756711, -118.1031755)]"
North Studebaker Road,33.77829,-118.1031981,"[(33.77829, -118.1031981), (33.7776488, -118.1032004)]"
North Studebaker Road,33.7808606,-118.1027076,"[(33.7808606, -118.1027076), (33.7807191, -118.1027236), (33.7806054, -118.102739), (33.7804142, -118.1027766), (33.7802673, -118.1028155), (33.7800693, -118.1028759)]"
Conant Street,33.8250097,-118.1165799,"[(33.8250097, -118.1165799), (33.8250078, -118.1163557), (33.8250063, -118.1155155), (33.8250035, -118.1146668), (33.825005, -118.1138501), (33.8249992, -118.1130112), (33.8250152, -118.1121484), (33.825016, -118.111299), (33.825016, -118.110399), (33.825004, -118.1097307), (33.8250013, -118.1089059), (33.8249981, -118.1085593), (33.824995, -118.108243), (33.8249804, -118.1080851), (33.8249618, -118.1079181), (33.8249628, -118.1078259)]"
Conant Street,33.8251022,-118.1296285,"[(33.8251022, -118.1296285), (33.8251027, -118.1299032)]"
Conant Street,33.8250097,-118.1165799,"[(33.8250097, -118.1165799), (33.8250621, -118.116777), (33.825064, -118.1173034), (33.8250642, -118.1176901), (33.8250662, -118.1181949), (33.8250628, -118.1187876), (33.8250642, -118.1190965), (33.82507, -118.119812), (33.8250707, -118.1199731), (33.8250747, -118.1208846), (33.8250788, -118.1218059), (33.8250787, -118.1219826), (33.8250821, -118.1227054), (33.825085, -118.1231282), (33.8250862, -118.1235894), (33.8250891, -118.1241022), (33.8250906, -118.1244834), (33.8250924, -118.1249055), (33.8250926, -118.1249574), (33.8250931, -118.1251289)]"
Conant Street,33.8250776,-118.1339277,"[(33.8250776, -118.1339277), (33.8250491, -118.1337857), (33.8250315, -118.1337162), (33.8250297, -118.1330583), (33.8250262, -118.1328535), (33.8250228, -118.1312762), (33.8250184, -118.1305039), (33.8250178, -118.130407), (33.8250172, -118.1299003)]"
Conant Street,33.8251074,-118.130406,"[(33.8251074, -118.130406), (33.8251118, -118.1312803), (33.8251196, -118.1328553), (33.8251193, -118.1330601), (33.8251177, -118.133716), (33.8251057, -118.1337805), (33.8250776, -118.1339277)]"
Conant Street,33.8249628,-118.1078259,"[(33.8249628, -118.1078259), (33.8249451, -118.1073118), (33.8249448, -118.1068518), (33.8249372, -118.1060219), (33.82493, -118.1052752), (33.8249019, -118.1050865), (33.8248507, -118.1049577), (33.8246054, -118.1045178), (33.8245743, -118.1044617), (33.8245009, -118.1043295)]"
San Anseline Avenue,33.8249933,-118.1208852,"[(33.8249933, -118.1208852), (33.8250747, -118.1208846), (33.8276344, -118.1208821), (33.8277012, -118.1208865), (33.8302405, -118.1208887)]"
Daisy Avenue,33.8470316,-118.1986757,"[(33.8470316, -118.1986757), (33.8472679, -118.1986761), (33.847964, -118.198677), (33.8483519, -118.1986866), (33.8483829, -118.1987022), (33.8484189, -118.1987356), (33.8484414, -118.1987962), (33.8484455, -118.1988653), (33.8484534, -118.1989827), (33.8487087, -118.1989852), (33.8487734, -118.1989863), (33.8488538, -118.1989868), (33.8496002, -118.1989943), (33.8503769, -118.1989913), (33.8504533, -118.1989911)]"
Deeboyar Avenue,33.8472378,-118.163414,"[(33.8472378, -118.163414), (33.8473273, -118.16348), (33.847937, -118.1634704), (33.8486441, -118.1634897), (33.8490433, -118.1635551)]"
Elm Avenue,33.8461262,-118.1883178,"[(33.8461262, -118.1883178), (33.8462655, -118.1883215), (33.8466892, -118.1883273), (33.8473285, -118.1883361), (33.8479656, -118.1883447), (33.8485384, -118.1883458), (33.8486064, -118.188346), (33.8486576, -118.1883455), (33.8492288, -118.1883406)]"
North Bentree Avenue,33.8470351,-118.1776629,"[(33.8470351, -118.1776629), (33.8470865, -118.1776834), (33.8471193, -118.1776868), (33.8471278, -118.1776877), (33.8472782, -118.1776808), (33.8475774, -118.1776515)]"
Webster Avenue,33.8049384,-118.2195776,"[(33.8049384, -118.2195776), (33.8060496, -118.2195908), (33.806379, -118.2196741), (33.8066741, -118.2198355), (33.8067759, -118.2199876), (33.8069783, -118.2200472), (33.807617, -118.220003)]"
West Carolyn Place,33.8069169,-118.2185744,"[(33.8069169, -118.2185744), (33.8069029, -118.219305), (33.8068553, -118.219555), (33.8066741, -118.2198355)]"
West Wilma Place,33.8049202,-118.2166677,"[(33.8049202, -118.2166677), (33.8049313, -118.217003), (33.8049336, -118.217754), (33.8049336, -118.2181671), (33.8049342, -118.2185767), (33.8049384, -118.2195776)]"
Goodrich Avenue,33.7888091,-118.2387824,"[(33.7888091, -118.2387824), (33.789189, -118.238807), (33.7897158, -118.2388411), (33.7905588, -118.2388726), (33.791239, -118.2389201), (33.7914768, -118.2389545), (33.7915345, -118.2390328)]"
Watson Avenue,33.7909333,-118.248109,"[(33.7909333, -118.248109), (33.790554, -118.2480803), (33.7901834, -118.2480513), (33.7897512, -118.2480168), (33.7893176, -118.2479816), (33.7888766, -118.2479532), (33.7884448, -118.2479145), (33.7879832, -118.2478826), (33.7875354, -118.2478527)]"
Drumm Avenue,33.7875771,-118.2470241,"[(33.7875771, -118.2470241), (33.7876513, -118.2470134), (33.7880383, -118.2467742), (33.7884985, -118.2464597), (33.7889672, -118.246112), (33.7894203, -118.2458141), (33.7898581, -118.2455014), (33.7899158, -118.2454265), (33.7899618, -118.2453123)]"
West Seaside Boulevard,33.7624137,-118.2248471,"[(33.7624137, -118.2248471), (33.7623133, -118.2256383), (33.7621442, -118.2261789), (33.7608349, -118.2301418), (33.7608064, -118.230224)]"
Henry Ford Avenue,33.7622147,-118.2400969,"[(33.7622147, -118.2400969), (33.7625264, -118.2400275), (33.7628876, -118.2400088), (33.7634803, -118.2399787), (33.7641414, -118.2400322)]"
Pier B Street,33.7795054,-118.2275241,"[(33.7795054, -118.2275241), (33.7796198, -118.2274428), (33.779628, -118.227437), (33.7796987, -118.2273981), (33.7803021, -118.2270661), (33.7804794, -118.2269375), (33.7806514, -118.2267477), (33.7808078, -118.2264909), (33.7809079, -118.2261863), (33.7809517, -118.2258823), (33.7810809, -118.2238986), (33.7810878, -118.223851), (33.7811232, -118.223608), (33.7812229, -118.2232909), (33.7813374, -118.223001)]"
West Anaheim Street,33.7826213,-118.2073687,"[(33.7826213, -118.2073687), (33.7826197, -118.2064319)]"
West Hill Street,33.797117,-118.2072537,"[(33.797117, -118.2072537), (33.7971243, -118.2078686), (33.7971212, -118.2083975), (33.7971179, -118.2089362), (33.797118, -118.2094903), (33.7971182, -118.2100087), (33.7971185, -118.2105812), (33.797124, -118.2111061), (33.7971192, -118.2121419), (33.7971192, -118.2121833), (33.7971201, -118.212825), (33.7971196, -118.2129862), (33.7971197, -118.2132585), (33.79712, -118.2137911), (33.7971202, -118.2143408), (33.7971204, -118.2146133), (33.7971207, -118.2152643), (33.7971208, -118.215377), (33.7971208, -118.2154473), (33.7971203, -118.2155176), (33.7971195, -118.2156298), (33.7971193, -118.2156532), (33.7971159, -118.2160989), (33.7971156, -118.2161452), (33.7971144, -118.2163289), (33.7971129, -118.2165035), (33.7971086, -118.2170902), (33.7971047, -118.2176134), (33.797104, -118.2177087), (33.7971037, -118.2177552), (33.7970926, -118.2192516), (33.7970886, -118.2197979), (33.7970783, -118.2211901), (33.7970661, -118.2228356), (33.7970655, -118.2229167)]"
West Maddox Street,33.8230016,-118.2077873,"[(33.8230016, -118.2077873), (33.8229702, -118.2080371), (33.8230551, -118.2082894), (33.8232024, -118.2084774), (33.8235095, -118.2086672)]"
Gale Avenue,33.8062543,-118.2078707,"[(33.8062543, -118.2078707), (33.8063572, -118.2078384), (33.8080141, -118.207849), (33.8098288, -118.2078496), (33.8112295, -118.2078535), (33.8116378, -118.2078547), (33.8134574, -118.2078592), (33.815274, -118.2078538), (33.8156907, -118.2078542), (33.8166921, -118.2078552), (33.8170861, -118.2078556), (33.8175077, -118.2078552), (33.8185058, -118.2078542), (33.8188702, -118.2078538), (33.8193579, -118.2077385), (33.8196369, -118.2076966), (33.8207972, -118.2076815)]"
Gale Avenue,33.8230016,-118.2077873,"[(33.8230016, -118.2077873), (33.8231888, -118.2076539), (33.8235077, -118.2076648), (33.8243208, -118.2077554), (33.8245302, -118.2077539)]"
Fashion Avenue,33.8235095,-118.2086672,"[(33.8235095, -118.2086672), (33.823844, -118.2085708), (33.8241048, -118.2083354), (33.8242741, -118.2080668), (33.8243208, -118.2077554)]"
West 34th Street,33.8188816,-118.2110993,"[(33.8188816, -118.2110993), (33.8188846, -118.2119265), (33.8188855, -118.2121959), (33.8188875, -118.2127525), (33.8189063, -118.21329), (33.8189119, -118.213576), (33.8189083, -118.214386), (33.8189093, -118.2145105), (33.8189119, -118.2149556), (33.8189119, -118.2150094), (33.8189117, -118.2153848), (33.8189106, -118.2155242)]"
Baker Street,33.8235077,-118.2076648,"[(33.8235077, -118.2076648), (33.8235095, -118.2086672), (33.8235673, -118.2088513), (33.8237256, -118.2097312), (33.8239238, -118.2108701)]"
East el Presidio Street,33.8425507,-118.2218814,"[(33.8425507, -118.2218814), (33.8425059, -118.2217277)]"
East Jefferson Street,33.8339797,-118.2249235,"[(33.8339797, -118.2249235), (33.8339803, -118.2245457), (33.8339805, -118.2244181), (33.8339816, -118.2236696), (33.8339836, -118.2222914), (33.8339844, -118.2217405), (33.8339851, -118.2212665), (33.8339865, -118.2203454), (33.8339888, -118.2187602), (33.8339895, -118.2182812), (33.8339927, -118.2161507)]"
East Los Arcos Street,33.8003296,-118.1133339,"[(33.8003296, -118.1133339), (33.8002664, -118.1132885), (33.8001638, -118.1130991), (33.8001103, -118.1130884), (33.8000285, -118.1131232), (33.7999808, -118.1132083)]"
Clark Avenue,33.7977598,-118.1340009,"[(33.7977598, -118.1340009), (33.7977595, -118.1338385), (33.7988832, -118.1338257), (33.7990458, -118.1338239), (33.7993726, -118.1338198), (33.7994572, -118.1338192), (33.7995621, -118.1338212), (33.7998357, -118.133827), (33.8002634, -118.1338197), (33.8012573, -118.133821), (33.8024021, -118.1338182), (33.8024771, -118.1338181)]"
Atlantic Avenue,33.8170773,-118.1850244,"[(33.8170773, -118.1850244), (33.8169094, -118.1850974), (33.8161398, -118.1850883)]"
East Wardlow Road,33.8188261,-118.1078472,"[(33.8188261, -118.1078472), (33.8187529, -118.1076962), (33.8187537, -118.1068784), (33.8187554, -118.1052152), (33.8187579, -118.1026893), (33.8187603, -118.1001926), (33.8187804, -118.0997268), (33.8188241, -118.0995771)]"
East Wardlow Road,33.8188241,-118.0995771,"[(33.8188241, -118.0995771), (33.8188703, -118.0997037), (33.8188697, -118.099849), (33.8188698, -118.1001924), (33.8188706, -118.1026874), (33.8188715, -118.1052133), (33.8188721, -118.10688), (33.8188722, -118.1073318), (33.8188722, -118.1074173)]"
Cherry Avenue,33.8189269,-118.1676418,"[(33.8189269, -118.1676418), (33.8190668, -118.1675828), (33.8194544, -118.1675718), (33.8195448, -118.1675692), (33.8202906, -118.1674951), (33.8205885, -118.1674655), (33.8206757, -118.1674568), (33.8212165, -118.1674627)]"
Cherry Avenue,33.8459208,-118.1676415,"[(33.8459208, -118.1676415), (33.8456636, -118.167631), (33.845423, -118.1676283), (33.8450064, -118.1676256)]"
Cherry Avenue,33.8122898,-118.1676637,"[(33.8122898, -118.1676637), (33.8118397, -118.1676665), (33.8117203, -118.1676698)]"
Cherry Avenue,33.8174212,-118.1676369,"[(33.8174212, -118.1676369), (33.8174869, -118.1676371), (33.8180603, -118.1676373)]"
Cherry Avenue,33.8130111,-118.1675498,"[(33.8130111, -118.1675498), (33.813625, -118.1675647)]"
Cherry Avenue,33.8151189,-118.1676257,"[(33.8151189, -118.1676257), (33.8149864, -118.167692), (33.8146277, -118.167687)]"
Cherry Avenue,33.814074,-118.1676814,"[(33.814074, -118.1676814), (33.8134332, -118.1676779)]"
Cherry Avenue,33.8141779,-118.1675808,"[(33.8141779, -118.1675808), (33.8149851, -118.1675854)]"
Cherry Avenue,33.8025737,-118.1675545,"[(33.8025737, -118.1675545), (33.8035496, -118.1675448), (33.803595, -118.1675441)]"
East Willow Street,33.8034742,-118.1324786,"[(33.8034742, -118.1324786), (33.8033532, -118.132477), (33.8032058, -118.1324751)]"
Clark Avenue,33.8043862,-118.1337976,"[(33.8043862, -118.1337976), (33.8044887, -118.1337992), (33.8051807, -118.13381), (33.8059742, -118.1338081), (33.8066701, -118.1338088), (33.8067408, -118.1338089), (33.8068828, -118.1338082), (33.8092162, -118.1337959)]"
Vuelte Grande Avenue,33.7916596,-118.1025347,"[(33.7916596, -118.1025347), (33.7918385, -118.1028558)]"
Snowden Avenue,33.8106801,-118.1112639,"[(33.8106801, -118.1112639), (33.810721, -118.111266), (33.8120461, -118.1112503), (33.8121484, -118.1112493)]"
Los Arcos Street,33.8003116,-118.1077238,"[(33.8003116, -118.1077238), (33.8003016, -118.1072836), (33.800239, -118.107117), (33.799176, -118.1056853)]"
East 218th Place,33.8301427,-118.2212636,"[(33.8301427, -118.2212636), (33.8301428, -118.22068), (33.8301429, -118.2198941), (33.8301431, -118.2187093), (33.8301432, -118.2181386), (33.8301942, -118.2177586), (33.8303551, -118.2171084)]"
South Santa Fe Avenue,33.8486323,-118.2116487,"[(33.8486323, -118.2116487), (33.8485813, -118.211638)]"
South Carlerik Avenue,33.8308415,-118.2182488,"[(33.8308415, -118.2182488), (33.8308319, -118.2181586), (33.8308074, -118.2180781), (33.8307717, -118.2180218), (33.8307261, -118.2179672), (33.8306827, -118.2179312), (33.8306192, -118.2179016), (33.8301942, -118.2177586)]"
Temple Avenue,33.8049642,-118.1589417,"[(33.8049642, -118.1589417), (33.8051486, -118.1589388), (33.8059872, -118.1589255), (33.8060875, -118.1589246), (33.8061632, -118.1589243), (33.8067526, -118.1589218), (33.8068441, -118.1589214), (33.8070582, -118.1589281), (33.8072453, -118.1589249), (33.8074618, -118.1589226), (33.8075748, -118.1589213)]"
Hathaway Court,33.8016035,-118.1584632,"[(33.8016035, -118.1584632), (33.8015761, -118.1584894), (33.8015023, -118.1585808), (33.8010658, -118.1585909), (33.8010136, -118.1585096), (33.8010098, -118.1582346), (33.8010214, -118.1579689), (33.8011976, -118.1578251)]"
Loynes Drive,33.7673094,-118.1050376,"[(33.7673094, -118.1050376), (33.7671105, -118.1041772)]"
Loynes Drive,33.7670349,-118.1038455,"[(33.7670349, -118.1038455), (33.7670051, -118.1037106), (33.7669836, -118.1035691), (33.7669772, -118.1034203), (33.7669761, -118.1033893), (33.7670315, -118.1032614)]"
Linden Avenue,33.7848788,-118.1866964,"[(33.7848788, -118.1866964), (33.7857863, -118.1866954), (33.7860582, -118.1866949), (33.7868984, -118.1866907), (33.7871494, -118.1866934), (33.7880427, -118.1866892), (33.7884844, -118.1866885), (33.7889537, -118.1866881), (33.7897445, -118.1866973), (33.7898708, -118.1866938)]"
East 8th Street,33.7765463,-118.180682,"[(33.7765463, -118.180682), (33.7765461, -118.1808542), (33.77655, -118.1813156), (33.7765519, -118.1818329), (33.7765537, -118.1824318), (33.7765491, -118.1830503), (33.7765512, -118.1836872), (33.7765527, -118.1843588), (33.7765571, -118.1850396), (33.7765586, -118.1857278), (33.7765588, -118.1863659), (33.7765565, -118.1870298), (33.7765518, -118.1876676), (33.776554, -118.1883347), (33.7765553, -118.1884151), (33.7765593, -118.188638), (33.7765581, -118.1887098), (33.7765592, -118.1892931)]"
Junipero Avenue,33.8117676,-118.1632757,"[(33.8117676, -118.1632757), (33.8116198, -118.1632757), (33.8112694, -118.1632719), (33.8111413, -118.1632708), (33.8108125, -118.1632678), (33.8106226, -118.1632661), (33.8100353, -118.1632691), (33.8098665, -118.1632708), (33.8097564, -118.1632725), (33.8094177, -118.1632766), (33.8092254, -118.1632716), (33.8091022, -118.1632748), (33.808844, -118.1632747), (33.8085466, -118.1632685), (33.8080456, -118.163269), (33.8075817, -118.1632725), (33.8074702, -118.1632736), (33.8072973, -118.1632698), (33.8072551, -118.1632768), (33.806864, -118.1632752), (33.806749, -118.1632736), (33.8066657, -118.1632714), (33.8066174, -118.163272), (33.8062331, -118.1632704), (33.8061397, -118.1632741), (33.8057296, -118.163266), (33.8055638, -118.1632637), (33.8051957, -118.1632602), (33.8050051, -118.1632564), (33.8047489, -118.1632551)]"
Patero Way,33.7950303,-118.1424776,"[(33.7950303, -118.1424776), (33.7950343, -118.1422212), (33.7951435, -118.1419409), (33.7953365, -118.1415045), (33.7955264, -118.1411788), (33.7957225, -118.1410683), (33.7959911, -118.1410656), (33.796062, -118.1410658)]"
