name,lat,lon,coordinates
Keynote Street,33.8229763,-118.1078244,"[(33.8229763, -118.1078244), (33.8229766, -118.1076908), (33.8229776, -118.1073222), (33.8229785, -118.1068501), (33.8229879, -118.1061236), (33.8229625, -118.1059739)]"
Keynote Street,33.8229724,-118.1337228,"[(33.8229724, -118.1337228), (33.8229709, -118.13364), (33.822967, -118.130538), (33.8229668, -118.130414)]"
Tivoli Drive,33.7576404,-118.1260433,"[(33.7576404, -118.1260433), (33.7576822, -118.1260329), (33.7577037, -118.1260275), (33.7579292, -118.1259686), (33.7590854, -118.1256726)]"
Tivoli Drive,33.7570977,-118.1264849,"[(33.7570977, -118.1264849), (33.7571433, -118.1264566), (33.7573742, -118.1263089), (33.7574639, -118.1262738), (33.7575704, -118.1262261)]"
East Sandison Street,33.7940785,-118.2518642,"[(33.7940785, -118.2518642), (33.7941035, -118.2512397), (33.794245, -118.2483511), (33.7942877, -118.2474928), (33.7943273, -118.2467463), (33.7943869, -118.2456225), (33.794436, -118.2445397), (33.7944729, -118.2437251), (33.7945604, -118.2422519)]"
West Jeanette Place,33.8076455,-118.2161054,"[(33.8076455, -118.2161054), (33.8076394, -118.2169332), (33.8076334, -118.2177621), (33.8076274, -118.2185825), (33.807617, -118.220003)]"
Hayes Avenue,33.7828176,-118.2187236,"[(33.7828176, -118.2187236), (33.7831621, -118.2187238), (33.7832271, -118.2187245), (33.7833303, -118.2187253), (33.7837924, -118.218731), (33.7846552, -118.218727), (33.785535, -118.2187279), (33.7864168, -118.2187176), (33.7873031, -118.2187186), (33.7881575, -118.2187195), (33.7890168, -118.21872), (33.7896692, -118.2187209), (33.7898567, -118.2187211)]"
Hayes Avenue,33.8007766,-118.2186863,"[(33.8007766, -118.2186863), (33.8025575, -118.2186974), (33.8039635, -118.2187062), (33.804243, -118.2187079), (33.8043162, -118.2187083), (33.8044379, -118.2187119)]"
Hayes Avenue,33.7989226,-118.2187191,"[(33.7989226, -118.2187191), (33.8001978, -118.2187055)]"
Hayes Avenue,33.8049342,-118.2185767,"[(33.8049342, -118.2185767), (33.8069169, -118.2185744), (33.8076274, -118.2185825)]"
East Albreda Street,33.8346705,-118.2441283,"[(33.8346705, -118.2441283), (33.8346738, -118.2421407)]"
West Peace Street,33.8456565,-118.1945872,"[(33.8456565, -118.1945872), (33.8456769, -118.1946519), (33.8456766, -118.1957946), (33.8456612, -118.1958544), (33.8456324, -118.1959225)]"
East 14th Street,33.78486,-118.150242,"[(33.78486, -118.150242), (33.7848602, -118.1501528), (33.7848613, -118.1496852), (33.784863, -118.1491622), (33.7848643, -118.148616), (33.7848654, -118.1481752), (33.7848657, -118.1481051), (33.7848711, -118.145896), (33.7848573, -118.1442778), (33.784865, -118.1416545), (33.7848654, -118.1415092)]"
East 14th Street,33.7844185,-118.1676676,"[(33.7844185, -118.1676676), (33.7844186, -118.1675339), (33.7844191, -118.1671118), (33.7844196, -118.1665588), (33.7844197, -118.1660362), (33.7844199, -118.1654968), (33.7844202, -118.1651851), (33.7844203, -118.165012), (33.7844201, -118.1649365), (33.7844201, -118.1648485), (33.7844202, -118.1643885), (33.7844214, -118.1638582), (33.7844269, -118.1633979), (33.7844277, -118.1633314), (33.7844264, -118.1632115), (33.7844217, -118.1627719), (33.7844202, -118.1622712), (33.7844163, -118.1616182), (33.7844223, -118.1611156), (33.7844204, -118.1605974), (33.784423, -118.1600684), (33.7844216, -118.1594894), (33.7844233, -118.1589509), (33.7844187, -118.1583973), (33.7844159, -118.1578728), (33.7844221, -118.1574), (33.7844221, -118.1573083), (33.7844214, -118.1568799), (33.784421, -118.1568681), (33.7844215, -118.1567695)]"
East 14th Street,33.7844084,-118.1415073,"[(33.7844084, -118.1415073), (33.7844263, -118.141388), (33.784422, -118.1409494)]"
East 14th Street,33.7843724,-118.1545932,"[(33.7843724, -118.1545932), (33.7843719, -118.1544944), (33.7843671, -118.1536133), (33.7843665, -118.1535093), (33.7843665, -118.1534315), (33.7843668, -118.1529742), (33.7843684, -118.1525772), (33.784369, -118.1524203)]"
East 14th Street,33.7838485,-118.1894963,"[(33.7838485, -118.1894963), (33.7837979, -118.189436), (33.783789, -118.1894047), (33.7837853, -118.1893485), (33.7838141, -118.1892872)]"
East 14th Street,33.784194,-118.189496,"[(33.784194, -118.189496), (33.7841384, -118.1895465), (33.7839881, -118.1895546), (33.7839548, -118.189563), (33.7839328, -118.1895882), (33.7839339, -118.1901093), (33.7839308, -118.1911143), (33.7839312, -118.1912004), (33.7839305, -118.191755), (33.7839311, -118.1922667), (33.7839314, -118.1922935), (33.7839327, -118.1923931)]"
East 14th Street,33.7837161,-118.1911163,"[(33.7837161, -118.1911163), (33.7837149, -118.1901074), (33.7837154, -118.189633), (33.783711, -118.1896001), (33.7836868, -118.1895593), (33.7836419, -118.1895211)]"
Earlie Avenue,33.8487402,-118.2399796,"[(33.8487402, -118.2399796), (33.8479988, -118.239971)]"
Earlie Avenue,33.849453,-118.2396277,"[(33.849453, -118.2396277), (33.8502229, -118.2396363), (33.8503013, -118.2396449), (33.8503583, -118.239662), (33.8503939, -118.2396792), (33.8504153, -118.2397049)]"
Gale Avenue,33.8250305,-118.208502,"[(33.8250305, -118.208502), (33.8254853, -118.2091855)]"
Gale Avenue,33.7873271,-118.2080147,"[(33.7873271, -118.2080147), (33.7873538, -118.2079881), (33.7873899, -118.2079765), (33.7880537, -118.2080134), (33.7880976, -118.2080284), (33.7881296, -118.2080574)]"
Gale Avenue,33.7855551,-118.2078451,"[(33.7855551, -118.2078451), (33.7860145, -118.2078407), (33.7864539, -118.2078365)]"
Gale Avenue,33.8226542,-118.2075762,"[(33.8226542, -118.2075762), (33.8230016, -118.2077873)]"
Gale Avenue,33.7921573,-118.2079898,"[(33.7921573, -118.2079898), (33.7922031, -118.2079484), (33.7925864, -118.2078611), (33.7934917, -118.2078611), (33.7953261, -118.2078526), (33.7971243, -118.2078686), (33.7989253, -118.2078579), (33.8007554, -118.2078614), (33.8022418, -118.2078632), (33.8023934, -118.2078632), (33.8024959, -118.2078793), (33.8025628, -118.2079276)]"
Avenida de Castillo,33.7728423,-118.112488,"[(33.7728423, -118.112488), (33.7727566, -118.1123079), (33.7723604, -118.1120151), (33.7721226, -118.1118298), (33.7718902, -118.1116434)]"
