longitude,latitude,GIS_ACRES,YEAR_,FIRE_NAME,weight_hist,weight_recent
-117.1059947393164,33.75646158793926,70.24644,2024,HILLS,4.266144852988192,3.8601674937452337
-116.9041321037555,32.59052345147522,68.85107,2024,BORDER 77,4.246365404125371,3.842270308306025
-117.55788731702765,34.40048588442035,67.26244,2024,JOHNSON,4.223359688517989,3.821453875995771
-116.7600702659036,33.917871071656194,64.26192,2024,CARMEN,4.178408711510817,3.7807805500224076
-120.25871470412694,34.62258612003772,64.12293,2024,RIVERVIEW,4.176276714539585,3.778851439387698
-119.21190641844002,35.46843497846805,62.28129,2024,BURBANK,4.147589708839479,3.752894363218831
-118.36130821801315,35.026942561951856,59.79034,2024,CAL,4.107430894770159,3.7165571655849616
-118.90267603847354,35.39507218733549,58.64127,2024,MORNING 3,4.088347784103081,3.699290053000868
-119.32633489104332,35.11026136974611,56.98214,2024,PANEL,4.06013503209144,3.6737620993149664
-118.81082687983503,35.3624039229401,56.73235,2024,CHASE,4.05581767498261,3.669855593055873
-117.13842194505634,34.09178694296979,56.56629,2024,ABBEY,4.052937153324726,3.6672491892763572
-118.90019210470979,35.388030889247936,56.402,2024,MORNING 2,4.0500791459240855,3.6646631572392336
-118.97826661901325,35.24839055890773,55.6607,2024,DI GIORGIO,4.037080848720691,3.65290181155885
-118.65083777999365,35.273678593968505,53.36197,2024,CALIENTE,3.9956648285085605,3.615427046764781
-119.49925834403491,35.34186496707092,52.62851,2024,GROVE,3.98208082965158,3.6031357363124275
-117.17748002448536,33.33423077617121,50.05513,2024,GARDEN,3.932906029277886,3.55864053690986
-118.62312481786799,35.268408947492475,47.84439,2024,TRAIN,3.888639530542944,3.5185865524890434
-118.39041135330376,35.33914118012708,47.46571,2024,CREEK,3.880856537584505,3.5115442092359372
-120.35944047758493,34.59263061516209,46.51128,2024,ROSA,3.8609671565323938,3.4935475530384115
-118.85042908486895,34.97568911792649,45.57498,2024,LAVAL 2,3.841063487072638,3.4755379681550047
-114.50863703932153,33.96793448806278,44.96106,2024,HIDDEN VALLEY,3.8277945162481033,3.4635317068541385
-118.8903581074773,35.37048403106048,43.32871,2024,VINELAND,3.791632548401225,3.4308110052364698
-116.47654343350818,32.716547520484305,42.96142,2024,KITCHEN,3.783312431106531,3.4232826517857826
-119.20143174105965,35.25391552653721,42.81101,2024,HIGHWAY,3.7798851556573037,3.4201815247174054
-118.7695624638805,35.23243439777351,42.58892,2024,ROCK PILE,3.774802989618518,3.4155829907208406
-120.24445802357302,34.88242653207924,41.68362,2024,OAK,3.7538152400813845,3.3965924896192754
-119.48081540303623,35.10378816614594,40.76807,2024,HILL,3.7321321720309992,3.376972838309467
-117.12031579328101,34.68933714748989,39.97076,2024,SORREL,3.71285864154538,3.359533426748422
-119.01669873643064,35.268701679497184,39.78333,2024,GREENFIELD,3.7082734194878335,3.35538454626075
-119.45775218257238,34.93980558933397,38.00743,2024,TRAVEL,3.6637521408048963,3.3151000274096214
-117.47442148589732,33.965093485391904,38.00608,2024,CLAY,3.663717531414801,3.3150687115384483
-118.22663792486195,34.953313955918695,37.60654,2024,BACKUS,3.6534216921709484,3.305752650940527
-119.70632183410649,34.95450614188213,36.68454,2024,WEST,3.629249930772745,3.283881136767595
-117.80325066729951,34.420768712757095,35.31696,2024,SUNRISE 2,3.5922848497894866,3.2504337483332137
-118.91124817937123,35.403272137701514,33.7582,2024,MORNING,3.548415515396993,3.2107391330705535
-116.8929156600192,33.88724719717259,33.50643,2024,SHIRLEON,3.5411456834829083,3.204161117131858
-116.36575989288102,32.684992499860755,33.47947,2024,CHURCH 2,3.5403640744476554,3.203453888030486
-118.18572326892479,34.89302471853939,33.07992,2024,SNAKE 2,3.5287083545405196,3.192907356524363
-116.10158277847427,32.65193253971487,32.37347,2024,INKOPAH 5,3.5077612729729757,3.173953653323398
-118.22629549980181,34.961636106250445,31.22492,2024,EDMONDS,3.472740066277561,3.1422651550806155
-116.70739822648743,33.56795975300533,30.44253,2024,RRU/HOWARD,3.448161435061323,3.1200254898720567
-119.64341833939275,35.457602828524635,30.18414,2024,ALMOND,3.4399096322369127,3.1125589499102753
-119.68488384628044,35.40160640353253,29.02665,2024,LOST,3.4020853206609494,3.078334097484893
-118.58454985781732,34.514917531328045,28.54437,2024,LAGO,3.3858932011653153,3.0636828618879335
-119.9498063551992,35.278169456602,28.25279,2024,BRENTWOOD,3.375974953744427,3.054708460500175
-119.02272199078466,35.28632445497772,27.84261,2024,BERKSHIRE,3.361853807628452,3.041931119108888
-116.92291066498231,32.676852694383655,27.25527,2024,PROCTOR 8,3.3412799888669764,3.0233151580616147
-119.17986379662572,34.99402699031816,27.20513,2024,GOLD,3.3395038762931772,3.0217080649461967
-115.20566197656092,35.30352979145061,93077.87,2023,YORK,11.441202477247995,9.367264320314922
-117.02138801800083,33.89148186054677,8354.776,2023,RABBIT,9.03070831523241,7.3937186197578235
-119.78782892545631,34.932507364923296,5761.521,2023,PLANT,8.65913033154989,7.0894962973502365
-119.07602898041894,34.30371035007494,2715.4,2023,SOUTH,7.907062753239637,6.473755442594748
-116.85590927294649,33.45454686608091,2487.0,2023,HIGHLAND,7.81923445385907,6.401847712901338
-116.68326410867486,33.46744884060768,2323.106,2023,BONNY,7.751090727947142,6.346056348867926
-118.87455556464985,35.492502309540704,1291.166,2023,EAST,7.164075159061453,5.865448650085646
-118.89999744408524,34.89014921567002,1043.665,2023,DISTRICT,6.951451538841351,5.691367153380675
-116.04537023230345,33.90554424603339,1033.308,2023,GEOLOGY,6.941487883053642,5.683209601974195
-120.07673052091509,35.4632661548563,695.1143,2023,BITTER,6.545513870989043,5.359013500877236
-117.13214541452123,33.87789601284749,531.0221,2023,ROCK,6.27668502983221,5.13891506130782
-116.63577112039134,32.64068213382669,466.5,2023,COYOTE,6.147399348728742,5.033064898255778
-117.2144817552137,33.974198359487545,435.684,2023,RECHE,6.079209821395764,4.977236035190417
-118.31882872741821,34.435396812281056,426.2046,2023,AGUA,6.057263055378275,4.9592675429212925
-117.04524065866677,33.81029492313299,337.9316,2023,RAMONA,5.825798317110658,4.769760243448449
-117.34920030924344,33.807688177331386,334.5828,2023,GAVILAN,5.81586872178978,4.761630578393626
-120.19704016365537,35.21934827332707,259.8927,2023,AVENALES,5.564109211682242,4.555507325088738
-119.50162074455048,35.01466929860619,228.4782,2023,GRADE,5.435808035882095,4.450463206805093
-117.57074871645456,34.28878295011914,226.9751,2023,NOB,5.429236412464221,4.4450828166152325
-120.3285460057274,34.55960397642481,211.192,2023,SUN,5.357491525186457,4.386343071024814
-116.85513992845706,32.99254377919997,183.9228,2023,BUNNIE,5.2199384406882805,4.273724130565422
-116.10106391518752,33.573550726076945,127.0,2023,66,4.852030263919617,3.972506391936067
-119.86512201411598,35.29540875101117,121.1558,2023,ARROW,4.805297279179843,3.93424466014649
-120.34286425941033,35.45569164770223,114.7964,2023,SHELL,4.751833476572749,3.890472200775571
-118.47165414780001,34.943864501689696,107.8487,2023,CHAMPAGNE,4.6899588445683555,3.839813536718191
-116.9422112605391,33.90266522187033,104.0207,2023,HIGHLAND,4.654157473584567,3.8105018532914094
-120.01508525237868,35.088083533628925,96.37685,2023,RINCONADA,4.578588502726742,3.7486312128716546
-120.1858846735215,34.558460912734645,95.66613,2023,GRADE,4.5712630825728615,3.7426336661124555
-116.56481407150508,33.85835636273615,90.48016,2023,TRAM,4.516122118169229,3.6974880628008235
-118.29766736552648,35.09408033361574,89.46474,2023,BOULEVARD,4.504960161527246,3.688349425633509
-119.7414202176182,35.48836043619738,86.2767,2023,LINE,4.469083531460803,3.6589761252813098
-119.34395930377043,35.02649882269287,83.47556,2023,PENTLAND,4.436462261758612,3.6322680885716747
-117.06390923075001,34.738957396605024,81.68464,2023,STODDARD,4.4150338532195486,3.614723991511225
-118.99441383134487,34.8514377484717,76.19935,2023,TECUYA,4.346391037306166,3.558524007145068
-119.9268507578251,35.32667255000971,70.79186,2023,BOULDER,4.273771099153723,3.499067830493042
-119.58331405553932,35.15043485242778,63.70088,2023,MIDWAY,4.169774802650835,3.413922864339911
-114.69468344455397,32.74912901635442,62.32319,2023,Winterhaven Drive,4.148251612770994,3.3963011668809484
-116.83320736457293,32.55810994790697,61.07,2023,BORDER 14,4.128262780425561,3.3799356951216226
-118.6248461833717,35.25908808130116,60.6251,2023,BEALE,4.121069255079591,3.374046134697831
-118.51106401131996,34.35148471925483,57.49,2023,VICTOR,4.068855799454934,3.3312973728534523
-118.61399317958039,35.268639307887675,55.02539,2023,CALIENTE ,4.025804980840808,3.2960503437088846
-118.66847454896772,35.29171352373762,52.75753,2023,BODFISH,3.9844837502189168,3.262219381443715
-118.60108051265242,35.13921949401222,52.54716,2023,TROTTER,3.980562760940224,3.25900914693876
-120.06545091647664,35.09982448390577,48.99358,2023,GIFFORD,3.9118945971841605,3.2027884095142762
-116.89481152671773,32.73144825348209,39.37137,2023,SAGE,3.69812087038019,3.0277652851797745
-116.76638193164919,32.583118524189516,38.60516,2023,BORDER 42,3.6789594128020355,3.01207721058674
-116.35426418301225,32.739253780427084,37.4,2023,BLACKWOOD,3.648057459593681,2.9867768311648835
-116.06072012930977,33.4610415240612,37.28043,2023,JOHNSON,3.6449387995415172,2.9842234882717813
-118.87298211257097,34.84104780845893,34.74714,2023,HABERKERN,3.576470265939846,2.92816619419394
-115.59994048018875,35.329690804531715,28.64047,2023,VALLEY,3.3891406572522333,2.774793682599327
-118.73999705302217,34.63761479615707,25.90652,2023,VISTA,3.292368636420861,2.6955634531071797
-119.98410465334564,35.29496363826463,25.73028,2023,DIABLO,3.28579700521755,2.690183056543142
-116.85628842903884,33.67048828568199,28097.87,2022,FAIRVIEW,10.24348464099012,7.588560065318807
-114.46564542422689,34.01826380561006,5856.573,2022,LOST LAKE,8.675490632959008,6.426961534249602
-118.64398456098928,34.54539337500113,5227.923,2022,ROUTE,8.561960608510766,6.342856423543904
-116.66501245980736,32.60893455340406,4456.34,2022,BORDER 32,8.40230745453334,6.224582458088123
-118.89665716681093,34.9242363461005,2465.185,2022,THUNDER,7.81042770118616,5.786107152355931
-116.88366622261861,34.21283982340328,1079.279,2022,RADFORD ,6.984974620089289,5.174596469561505
-117.61163210635019,34.36673149951584,865.1371,2022,SHEEP,6.764043210119842,5.010926455535237
-118.8465105536254,34.92458156950665,682.0379,2022,EDMONSTON,6.526550348514412,4.834987416376093
-116.70419735649193,32.58022679324176,568.2128,2022,BORDER 13,6.3442543536648905,4.699939221834266
-117.51465658974092,33.70378013850028,552.538,2022,JIM,6.316330403811985,4.679252650989832
-118.92675440013004,34.9012871325363,484.856,2022,PLANT,6.1859122836997775,4.582636531303651
-116.43115682667641,34.07806062275043,414.1108,2022,ELK TRAIL,6.028545472547565,4.466056330271513
-120.42391869338533,35.14199357522902,386.9821,2022,CAMINO,5.960959204538448,4.415987191462482
-118.64696625722195,35.28442208503502,216.2137,2022,RAIL,5.38088166157705,3.9862551782283955
-117.73469246318632,33.52195814197312,202.0908,2022,COASTAL,5.313653169677543,3.9364510864802873
-116.51191221853665,32.866867801307386,188.4808,2022,VALLEY,5.244287700128124,3.8850638827519353
-116.75630826286495,33.08143832001656,178.2691,2022,CASNER,5.188888028893794,3.844022796881767
-117.80568247042653,33.561467743667,154.6207,2022,EMERALD,5.047421636315153,3.739221915645397
-117.77138100035438,34.23467063987647,147.6624,2022,EAST,5.001677963388545,3.7053341692604604
-118.74168349709358,34.76591460245652,125.3294,2022,SAM,4.838892781364982,3.5847399403604148
-120.28100676073454,34.489200894958636,123.7686,2022,HOLLISTER,4.826460821713989,3.5755301181321797
-117.88374644535452,34.18545908024311,113.4179,2022,GULCH,4.739857535237242,3.5113728255392864
-116.89944527829373,32.60553405496976,98.14726,2022,BORDER 27,4.596606219687333,3.4052496408432873
-117.32730398831656,34.310728048117305,96.88597,2022,HESPERIA,4.583803229767188,3.39576495263124
-118.72008107570619,35.19576768654823,93.07888,2022,RANGE,4.54413357931755,3.3663769527700733
-117.4445948133502,34.25467133144825,89.57446,2022,BRONCO,4.506172274853349,3.3382545267421473
-119.13271331066018,34.558711886027844,74.61489,2022,HOWARD 2,4.3256532214638295,3.204522722810975
-119.29639164725573,34.93864045788293,62.03226,2022,RANCH,4.143646658823825,3.0696889449236116
-118.6029580294561,34.485407554818615,60.45229,2022,QUAIL,4.118261101387657,3.050882861432736
-120.3946104654264,34.99880335064334,56.78185,2022,WINEMAN,4.056674712524831,3.005258542417165
-120.3649599405037,34.993399148650866,50.92991,2022,BULL,3.949894924752473,2.926154130034875
-118.80196708577236,35.14235558583917,50.66179,2022,COMANCHE,3.9447184366996204,2.9223192933661806
-116.72407175582896,32.59513551793306,49.2244,2022,BARRETT 4,3.9165009643877298,2.90141527573595
-118.36702126837766,34.57384508484706,48.40139,2022,BOUQUET,3.899978561449842,2.8891751785901176
-116.8131839671262,33.06682218141733,47.70462,2022,CAESAR,3.8857738921187734,2.8786521007309034
-119.4590239362107,35.055550742525696,31.69387,2022,KERTO,3.487187598556353,2.58337211194587
-120.27968054476467,35.37881309642455,31.54411,2022,NAVAJO,3.4825963998997684,2.5799708683263027
-117.24528466827124,33.434338844180516,29.23103,2022,SANDIA,3.40886888032472,2.5253521784594386
-116.25336161749067,32.60931129032152,29.14392,2022,JEWEL,3.4059832444626177,2.5232144468345408
